descriptions,index
"We're looking for a Data Engineer to join a company in the Underdog.io network.The Underdog.io network is a curated group of some of the fastest growing startups and tech companies in the country. We actively turn away more than 50% of companies that attempt to join.We accept companies that offer competitive salaries, benefits, and perks. They're working on interesting technical challenges and must be respectful of your time to stay active.Our companies look for Data Engineers proficient in Python, Java, SQL, Hadoop, C++ and more. The ideal candidate is passionate about building clean pipelines and maintaining data products relied on by many. Many of our companies are looking for mid-to-senior level talent, both individual contributors and managers.To apply to the network, we'll ask you to fill out a 60-second web form. It's absolutely free.If accepted, you'll hear directly from founders, hiring managers, and other key decision makers starting the following Monday. Our platform will hide your profile from your current employer.Apply today!Building an inclusive and diverse workplace is one of Underdog.io’s core values. We warmly welcome people of all backgrounds, experiences, and perspectives.C++,Python (Programming Language),Java,Data Products,Pipelines,Hadoop,MapReduce,SQL,Data Warehousing,Data Architecture",10
"We believe that difference sparks brilliance, so we welcome people and ideas from everywhere to join us in stretching what’s possible.At Tapestry, being true to yourself is core to who we are. When each of us brings our individuality to our collective ambition, our creativity is unleashed. This global house of brands – Coach, Kate Spade New York, Stuart Weitzman – was built by unconventional entrepreneurs and unexpected solutions, so when we say we believe in dreams, we mean we believe in making them happen. We’re always on a journey to becoming our best, but you can count on this: Here, your voice is valued, your ambitions are supported, and your work is recognized.Job Title: Sr. Data EngineerPrimary PurposeSupport Tapestry’s big data platform and the development of enterprise AI / ML solutionsThe successful individual will leverage their proficiency in Data Engineering to:Support development, automation, configuration management and deployment of our cloud-native data pipelines to support business critical operations and analytics.Design and advocate for modern data solutions using cloud native technologies, solid design principles, secure integration points, and automated deployments.Create tooling, structure, automation for new initiatives and existing data pipelinesAct as the technical expert on solutions built on Tapestry’s data platform and data operationsOwn code pipeline and service configuration management needs of the Big Data platform teamOwn development, test and production environments within Data Engineering eco-system.The Accomplished Individual Will PossessStrong ANSI SQL development skills (DML, DCL, DDL) Working knowledge of Linux and AWS ecosystemExperience working on Big data frameworks like Spark, hbase, Phoenix, Hadoop, Presto, HiveExperience with AWS data technologies like Glue, Athena, and EMRFundamental understanding of data structures and experience with distributed computing platformsJava/J2EE, Spring Framework, RESTful Services, Micro services, Java Testing Frameworks (JUnit etc.)Good Scripting knowledge - automation using python/bash/other scripting languageUnderstanding of SCM principles and experience with versioning tools like Git, BitBucket etc.Some exposure to NoSQL databases (Dynamo, Cassandra, Mongo etc.)Experience developing web based interactive visualization tools and dashboards for Analytics is a plus.Experience with build & IAC tools like Ant, Maven, Gradle, CMake, Jenkins, Cloud Formation, Terraform etc. is a plus.An Outstanding Professional Will Have3-5 years of experience building Data Engineering solutionsBachelor’s degree in Computer Science or a related field Strong ability to understand, document and communicate technical architectures, best practices, toolsets, and solutions.Collaborative skills to partner with other development teams and business analysts to deliver revenue impacting data infrastructure/platform solutionsExcellent communication skills (written and verbal, formal, and informal).Flexible and proactive/self-motivated working style with strong personal ownership. Strong and innovative approach to problem solving and finding solutions.Our Competencies for All EmployeesCourage: Doesn’t hold back anything that needs to be said; provides current, direct, complete, and “actionable” positive and corrective feedback to others; lets people know where they stand; faces up to people problems on any person or situation (not including direct reports) quickly and directly; is not afraid to take negative action when necessary.Creativity: Comes up with a lot of new and unique ideas; easily makes connections among previously unrelated notions; tends to be seen as original and value-added in brainstorming settings.Customer Focus: Is dedicated to meeting the expectations and requirements of internal and external customers; gets first-hand customer information and uses it for improvements in products and services; acts with customers in mind; establishes and maintains effective relationships with customers and gains their trust and respect.Dealing with Ambiguity: Can effectively cope with change; can shift gears comfortably; can decide and act without having the total picture; isn’t upset when things are up in the air; doesn’t have to finish things before moving on; can comfortably handle risk and uncertainty.Drive for Results: Can be counted on to exceed goals successfully; is constantly and consistently one of the top performers; very bottom-line oriented; steadfastly pushes self and others for results.Interpersonal Savvy: Relates well to all kinds of people, up, down, and sideways, inside and outside the organization; builds appropriate rapport; builds constructive and effective relationships; uses diplomacy and tact; can diffuse even high-tension situations comfortably.Learning on the Fly: Learns quickly when facing new problems; a relentless and versatile learner; open to change; analyzes both successes and failures for clues to improvement; experiments and will try anything to find solutions; enjoys the challenge of unfamiliar tasks; quickly grasps the essence and the underlying structure of anything.Our Competencies for All People ManagersStrategic Agility: Sees ahead clearly; can anticipate future consequences and trends accurately; has broad knowledge and perspective; is future oriented; can articulately paint credible pictures and visions of possibilities and likelihoods; can create competitive and breakthrough strategies and plans.Developing Direct Reports and Others: Provides challenging and stretching tasks and assignments; holds frequent development discussions; is aware of each person's career goals; constructs compelling development plans and executes them; pushes people to accept developmental moves; will take on those who need help and further development; cooperates with the developmental system in the organization; is a people builder.Building Effective Teams: Blends people into teams when needed; creates strong morale and spirit in their team; shares wins and successes; fosters open dialogue; lets people finish and be responsible for their work; defines success in terms of the whole team; creates a feeling of belonging in the team.Tapestry, Inc. is an equal opportunity and affirmative action employer and we pride ourselves on hiring and developing the best people. All employment decisions (including recruitment, hiring, promotion, compensation, transfer, training, discipline and termination) are based on the applicant’s or employee’s qualifications as they relate to the requirements of the position under consideration. These decisions are made without regard to age, sex, sexual orientation, gender identity, genetic characteristics, race, color, creed, religion, ethnicity, national origin, alienage, citizenship, disability, marital status, military status, pregnancy, or any other legally-recognized protected basis prohibited by applicable law. #LI_CE1 Visit Tapestry, Inc. at http://www.tapestry.com/",11
"About Us:DailyPay is the leader in the on-demand pay industry with an unrivaled technology platform, an unmatched list of blue-chip clients and an extensive list of industry awards. We are rewriting the invisible rules of finance by creating a new financial system. A financial system that is more equitable and inclusive, and benefits everyone. A financial system that enables workers to access their earned pay when they need it. We believe that money should move faster and smoother between employer and employee, between merchant and shopper, between financial institution and customer.We are a mission-driven company hyper-focused on designing technology that can build a better financial system and future. It’s no wonder that we are growing at an extraordinary pace. Now we are looking for people who are as passionate as we are about reimagining how money moves. If you’re willing to define new rules, change systems and lives, come join us at DailyPay.The Role:DailyPay is looking for a Data Analytics Engineer to join our Analytics Engineering group inside the DailyPay Data Team. The Analytics Engineering group is responsible for building the data infrastructure that underpins our data analytics and data products that are used cross-functionally inside the company (sales, marketing, operations, engineering, etc.) as well as by DailyPay partner companies. The team also ETLs internal and external data to help the Data Team provide insights about the payroll industry in general, as well as about personal finance and financial wellbeing.The mission of the Data Team is critical for continuous development and success of our product, understanding the needs of our customers and partners, and maintaining DailyPay’s leading role in the early wage access industry -- and our Data Analytics Engineers are instrumental in helping to realize this vision for DailyPay.If this opportunity excites you, we encourage you to apply even if you do not meet all of the qualifications.How You Will Make an Impact:Build and maintain company’s ETL and data pipelinesProduce, support and maintain data reports, analytics, metrics and dashboards for internal and external useDesign and implement data testing and scaling capabilitiesMaintain and optimize monitoring and alerting for company’s ETL and data pipelines, data warehouse, and analytics infrastructureOptimize database performance while reducing warehouse costs and development timesParticipate in code approvals and PR review process for company-wide analytics engineering effortsWhat You Bring to The Team:3+ years SQL experience; expert SQL capabilityFamiliarity with BI tools such as Tableau, Looker, or similarExcellent presentation and communication skills1+ years of dbt experience preferredExperience with Snowflake, Redshift, and ETL tools like Fivetran or Stitch is a plusPython experience is a plusWhat We Offer:Competitive compensationOpportunity for equity ownershipExceptional health, vision, and dental careEmployee Resource GroupsFun company outings and eventsUnlimited books from AmazonUnlimited PTO401K with company matchNo sponsorship is available for this position.DailyPay does not accept and will not review unsolicited resumes from search firms.As part of our commitment to health and safety, DailyPay requires all colleagues holding in-office positions, or who will be attending any in-person company meetings, be fully vaccinated against the Covid-19 virus unless there is a documented and approved medical or religious accommodation. As a condition of employment, prior to your start date, you will be required to submit proof of your vaccine status.DailyPay is committed to fostering an inclusive, equitable culture of belonging, grounded in empathy and respect, which values openness to opinions, awareness of lived experiences, fair treatment and access for all. We strive to build and develop diverse teams to create an organization where innovation thrives, where the full potential of each person is engaged, and their views, beliefs and values are integrated into our ways of working.We welcome people of all backgrounds to join us on our mission*. If you require reasonable accommodation for any aspect of the recruitment process, please send a request to peopleops@dailypay.com. All requests for accommodation will be addressed as confidentially as practicable._______________________________________________________________________________________DailyPay is an equal opportunity employer. All qualified applicants will receive consideration without regard to race, color, religion or creed, alienage or citizenship status, political affiliation, marital or partnership status, age, national origin, ancestry, physical or mental disability, medical condition, veteran status, gender, gender identity, pregnancy, childbirth (or related medical conditions), sex, sexual orientation, sexual and other reproductive health decisions, genetic disorder, genetic predisposition, carrier status, military status, familial status, or domestic violence victim status and any other basis protected under federal, state, or local laws.",12
"An early stage startup with secure revenue and funding is looking to build out their data team with several data engineers of all levels! 100% remote, but someone on the East Coast preferred!This Jobot Job is hosted by Christine McNamaraAre you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume.Salary $120,000 - $200,000 per yearA Bit About UsWe are a small startup looking to double in size over the next year. Our bleeding edge solutions are helping change the way the insurance industry operates on a daily basis and we are looking for Data Engineers to help us achieve these goals. The role would be entirely greenfield development and would offer you the opportunity to be involved in the overall technical direction of our data and analytics environment. We have the luxury of offering you all of the ownership and impacts as a small startup, while also giving you the security of a stable organization.Why join us?Opportunity to build something from scratchMedical, dental, vision coverage401k with company matchFull remote work Exponential growth opportunitiesUnlimited PTOCompetitive compensation packagesJob DetailsRequirements3-10 years of professional work experienceExperience building out data pipelines from scratch (Python)Good exposure to data warehousing and ETL tools (Snowflake, Redshift, etc)Strong database experience with extensive experience using SQLExperience with cloud based technologies (Azure, AWS)Comfortable building out CICD pipelines and deploying code into productionVersion Control experience (Git)Extensive problem solving experience and self-starter attitudeNice to HavesBachelors in STEM related fieldExperience with Spark or other streaming technologiesDomain knowledge experience working with insurance related data setsExperience working on projects from end to endCustomer facing experience to gather requirements and deliver solutions effectivelyMachine Learning and/or AI experienceExperience working with structured and unstructured data setsMentoring junior level engineersInterested in hearing more? Easy Apply now by clicking the ""Apply"" button.",13
"Company OverviewGEP is a diverse, creative team of people passionate about procurement. We invest ourselves entirely in our client’s success, creating strong collaborative relationships that deliver extraordinary value year after year. Our clients include market global leaders with far-flung international operations, Fortune 500 and Global 2000 enterprises, leading government and public institutions.We deliver practical, effective services and software that enable procurement leaders to maximise their impact on business operations, strategy and financial performance. That’s just some of the things that we do in our quest to build a beautiful company, enjoy the journey and make a difference. GEP is a place where individuality is prized, and talent respected. We’re focused on what is real and effective. GEP is where good ideas and great people are recognized, results matter, and ability and hard work drive achievements. We’re a learning organization, actively looking for people to help shape, grow and continually improve us.Are you one of us?GEP is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, ethnicity, color, national origin, religion, sex, protected veteran status, disability status, or any other characteristics protected by federal, state or local law. We are committed to hiring and valuing a global diverse work team. GEP is proud to be an EEO/AA employer M/F/D/V.For more information please visit us on GEP.com or check us out on LinkedIn.com.What You Will DoYou will use modern big data technologies in cloud environment to help accelerate analytics and data science projects across GEP. You will work on the flow and supply of data used by GEPs's customers, analysts, consultants, data scientists and other engineering teams and contribute to a team that will build and operate a platform which will drive GEPs' next generation product suite.You will build and maintain the flow of data from source systems (RDBMS, real time streams, unstructured) into the data platform, processes that query the platform, APIs that serve users, and tools used for monitoring and maintenance, in a secure, mission critical environment.Responsibilities includeDesign and develop data pipelines, transformations and services.Collaborate with multiple data sources and consumers to enforce standard patterns, best practice and design principles.Build and maintain cutting edge frameworks and systems to support big data use casesAccess, source, cleanse, merge, ETL, and possibly re-model data from 1,000s of data sources both internal and external to GEPWhat You Should Bring6+ years of hands-on coding experience with ETL & data engineering tools, especially in big data environments – data intensive applicationsExperience with Apache Spark, Coding with SQL, tuning and troubleshooting etc is must.Experience with Kafka, ADF, Hadoop, Data Bricks and any other big data environment is s a strong plusExpert with Python or Scala with a focus on functional programmingUnderstanding of full SDLC & exposure to all stages of developmentExperience maintaining production applications, Logging, tracing, and application monitoring is requiredExposure to Azure or other Cloud platforms is required.",14
"ROLE OVERVIEW: Balyasny Asset Management is seeking an experienced developer to work within the Macro Market Data team to build out next generation cloud native data initiatives that will underpin first-class analytics, trading tools and research. The optimal candidate will have a minimum of 2 years’ hands-on development experience with an excellent technical background and enjoy working with data. The candidate will be experienced in processing and manipulating data, developing scalable and performant data delivery systems, data APIs and platforms. This person will need to be a very strong communicator, able to multi-task and have the ability to excel in a fast-paced trading environment. The candidate would be comfortable leading projects from start to finish, communicating with stakeholders and ensuring success. In the role of Macro Data Engineer, the employee will be responsible for the following:Developing a keen understanding of the data and financial domain and how it is being utilized in our systems, analytics, and investment processesDeveloping and architecting next generation cloud native data platforms, pipelines and APIs within the Macro space using the AWS suite of technologies capable of delivering large volumes of data in a performant mannerWorking with a variety of vendors, including Bloomberg, Refinitiv, and delivering data across the full landscape of market data; from streaming real-time data to static, reference and historical data.Partner with our business users to understand their requirements and interactions with the data platform to ensure quality end data and product, with a smooth day-to-day operationWork as a key part of a highly-collaborative, tight-knit team of talented market data developersOwn the full scope of the assigned projects, including liaising with the business to gather requirements, designing the solution, and building and delivering completed functionality to productionProduce comprehensive written documentationBe a self-starter and perform with minimum supervision, exercising sound judgment QUALIFICATIONS & REQUIREMENTS: In order to effectively represent the Company and communicate with clients, the employee must be someone who has: Degree in Computer Science or STEM related subject2+ years development backgroundExpert knowledge of Python, with experience building complex, scalable systems and data manipulation (e.g. pandas/numpy/scikit-learn); C++, Rust knowledge would be a plus.Experience working in front-office within the Macro, Fixed Income or FX spaceStrong technical knowledge of systems supporting large, complex data sets in a performant, scalable mannerExperience with AWS technologies e.g. Redshift, SNS/SQS, S3, Lambdas and ECSExperience with data management principles and designing and developing data APIs, web services, ETL pipelinesUnix (Linux) and database experience (SQL, PostgreSQL, SQL Server)Familiarity with Bloomberg and/or Reuters/Refinitiv products a bonusAnalytical skills – Ability to troubleshoot and logically assess problems and determine solutionsDocumentation skills – ability to represent ideas, requirements, and problems in clear and concise documents.",15
"At Compass, we envision a world where the experience of selling or buying a home is simple and pleasant for everyone. Founded in 2012, Compass provides an end-to-end platform that empowers residential real estate agents to deliver exceptional service to their seller and buyer clients, all in service of our mission to help everyone find their place in the world.At Compass, we envision a world where the experience of selling or buying a home is simple and pleasant for everyone. Founded in 2012, Compass provides an end-to-end platform that empowers residential real estate agents to deliver exceptional service to their seller and buyer clients, all in service of our mission to help everyone find their place in the world.About The RoleCompass is looking for backend software engineers to help us build the future of real estate. We are building an end-to-end real estate technology platform that empowers agents and consumers. The AI team is responsible for building intelligent tools which help agents grow their business. We develop features which help agents prioritize their efforts and operate in an efficient manner. We are looking for someone with a proven track record of delivering critical backend components and building out customer facing features.At Compass You WillDeploy machine learning models into production, and support these models throughout their lifecycle.Collaborate closely with our machine learning scientists to move models from experimentation phase to production.Build out customer facing features that help agents make decisions and grow their business.Work with product managers to discern customer needs and translate these needs into an end product.What We Look For5+ years experience is preferred.Ability to collaborate with scientists, product management and work with an engineering-focused, iterative team to build and establish product requirements.Strong skills in coding and algorithms.Comfortable building prototypes from scratch.Experience working with a microservice based architecture.Experience with AWS development.BA/BS or MS in Computer Science/Machine Learning or equivalent and 5+ years experience is preferred.Do your best work, be your authentic self.At Compass, we believe that everyone deserves to find their place in the world — a place where they feel like they belong, where they can be their authentic selves, where they can thrive. Our collaborative, energetic culture is grounded in our Compass Entrepreneurship Principles and our commitment to diversity, equity, inclusion, growth and mobility. As an equal opportunity employer, we offer competitive compensation packages, robust benefits and professional growth opportunities aimed at helping to improve our employees' lives and careers.Notice for California Applicants",16
"URGENTLY HIRING SENIOR DATA ENGINEERS---Job Title: Senior Data EngineerJob Type: Direct-hire / PermanentSalary: $150K to $180K BaseLocation: 100% REMOTEFounded by former Google software engineers, we are the creator of one of the most widely-trusted distributed SQL databases that stores multiple copies of our clients' data in different cloud and regions to ensure uninterrupted access. Due to growth and demand we are in need of a talented Senior Data Engineer to join our diverse team!Priority will be given to candidates who complete the brief questionnaire within the application.Top Reasons to Work with UsHUGE growth opportunitiesOur company is valued at over $1 billionWe are a ""remote-first"" organizationWhat You Will Be DoingHelp to power data science, ETLs, and self-service data and tools to make us more efficient and help us to facilitate scalable decision-making.Design, build, and scale our backend data infrastructure.Define, develop, and manage curated datasets, key business metrics, and reporting across all functional business units.Work cross-organizationally with multiple teams and individuals.What You Need for this PositionBSCS or equivalent technical degree preferred5+ years of hands-on data engineering experienceExperience working directly with programming languages like Python, Java, Scala, or GoExperience with tools like Spark, Airflow, Presto, Hive, etc.Experience with reporting tools like Tableau, Looker, or similarExperience designing and implementing centralized data warehousing & platforms like Snowflake, Segment, etc.Strong knowledge of data architecture, data modeling, statistics, data science, and data infrastructure ecosystemsNice To HaveExperience with modern data warehouses, building scalable pipelines, and reporting/analytic techniques.Experience designing and developing data collecting and processing systems to handle large data sets.What's In It for YouCompetitive base salaryBonusHealth insurance 100% covered for you and your dependentsFlexible work hoursFlexible time offEducation reimbursementsPaid parental leaveFun company eventsMuch more!So if this sounds like you and you're interested in joining an incredible organization, please apply today!Colorado employees will receive paid sick leave. For additional information about available benefits, please contact Brennen LeftwickEmail Your Resume In Word ToLooking forward to receiving your resume through our website and going over the position with you. Clicking apply is the best way to apply, but you may also:Brennen.Leftwick@CyberCoders.comPlease do NOT change the email subject line in any way. You must keep the JobID: linkedin : BL1-1666550 -- in the email subject line for your application to be considered.***Brennen Leftwick - Recruiting Manager - CyberCodersApplicants must be authorized to work in the U.S.CyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.CyberCoders will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance.",17
"Position Summary... What You'll Do...Here at Walmart, we're driven by an intellectual curiosity that keeps us on the cutting-edge of user design and a seamless customer experience. We're intrigued by the opportunity to engineer the most optimal approach that drives conversions and generates consumer loyalty across every touchpoint of the digital journey.Intelligent Retail Lab is part of Walmart's Global Tech, an innovation hub formed by the world's largest retailer focused on providing technology solutions that empower the business. IRL's mission is to create step change in-store experiences, leveraging emerging technology to help define and deliver on evolving customer expectations. Its success requires a cross-functional, mission-based team that is highly entrepreneurial, collaborative, and passionate about solving the unsolved problems.We are looking for a savvy Data Engineer to join our growing team of analytics experts. The Data Engineer will be responsible for expanding and optimizing our data and data pipelines, as well as optimizing data flow and collection for cross functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support our data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products and data initiatives.Responsibilities For Data EngineerCreate and maintain optimal data pipeline architecture,Assemble large, complex data sets that meet functional / non-functional business requirements.Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using BigQuery and CosmosDBBuild analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.Work with stakeholders including Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.Work with data and analytics experts to strive for greater functionality in our data systems.Qualifications For Data EngineerAdvanced working BigQuery knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.Strong analytic skills related to working with unstructured datasets.Build processes supporting data transformation, data structures, metadata, dependency and workload management.A successful history of manipulating, processing and extracting value from large disconnected datasets.Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores.Experience supporting and working with cross-functional teams in a dynamic environment.Job Experience and EducationWe are looking for a candidate with 2-3+ years of experience in a Data Engineer role, who has attained a degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. They should also have experience using the following software/tools:Experience with relational SQL and NoSQL databasesExperience with data pipeline and workflow management toolsExperience with Node.js, GraphQL, and gRPC services a plusBenefits & PerksBeyond competitive pay, you can receive incentive awards for your performance. Other great perks include 401(k) match, stock purchase plan, paid maternity and parental leave, PTO, multiple health plans, and much more.Equal Opportunity EmployerWalmart, Inc. is an Equal Opportunity Employer – By Choice. We believe we are best equipped to help our associates, customers, and the communities we serve live better when we really know them. That means understanding, respecting, and valuing diversity- unique styles, experiences, identities, ideas, and opinions – while being inclusive of all people.About Global TechImagine working in an environment where one line of code can make life easier for hundreds of millions of people and put a smile on their face. That’s what we do at Walmart Global Tech. We’re a team of 15,000+ software engineers, data scientists and service professionals within Walmart, the world’s largest retailer, delivering innovations that improve how our customers shop and empower our 2.2 million associates. To others, innovation looks like an app, service, or some code, but Walmart has always been about people. People are why we innovate, and people power our innovations. Being human-led is our true disruption.Minimum Qualifications...Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications. As permitted by applicable law, provide evidence of full vaccination as defined by CDC guidelines OR secure approval of medical or religious accommodation for the vaccination mandate., Bachelor’s degree in Computer Science and 2 years’ experience in software engineering or related field OR 4 years’ experience in software engineering or related field. Preferred Qualifications...Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications. Masters: Computer Science Primary Location...121 River St, Hoboken, NJ 07030-5989, United States of America",18
"At Compass, we envision a world where the experience of selling or buying a home is simple and pleasant for everyone. Founded in 2012, Compass provides an end-to-end platform that empowers residential real estate agents to deliver exceptional service to their seller and buyer clients, all in service of our mission to help everyone find their place in the world.Compass is looking for a Staff Business/Data Analyst, supporting our Transaction Operations team, who is experienced in leveraging multiple complex data sources to derive a clear and actionable visualization of the data. This position will be responsible for developing metrics and reporting, understanding and managing data structure, strategic analysis, and rigorous deep dives to impact the business. They will work with technical teams, product teams, program teams, finance, and operations to drive reporting to visualize our success towards our goals, as well as to articulate productivity within the teams. This role will be responsible to map and define data parity across multiple business tools and processes, to ensure that data is consistent and complete. Additionally the role will be responsible for ensuring data continuity across platforms that have been sunset and replaced with new platforms, enabling a single source of truth for all of the historical and future reporting needs. This role requires an individual with excellent analytical abilities as well as outstanding business acumen and comfort with technical teams and systems. The successful candidate will be a self-starter comfortable with ambiguity, with strong attention to detail, and an ability to work in a fast-paced and ever-changing environment.If you are passionate about solving complex problems and thrive in a fast-paced environment, we'd be thrilled to meet you. This is a full-time position that will report directly to the Sr. Director of Program Management.At Compass You WillDrive the Transaction Operations Data analytics, working across multi-functional teams to prioritize roadmaps, improve processes, deliver clear and concise data reporting and insights.Drive standard business reporting processes, including weekly flashes, productivity reporting and any other data needed to support the Transaction Operations.Accountable for generating key business insights required to deliver against core input/output metric goals.Proactively seek to identify business opportunities and provide solutions based on a broad and deep knowledge of Compass data resources, industry best-practices, and work done by other teams.Simplify complex data structures to present clear, informative and actionable data visualizations.What We Look For+8 years of direct analytics experience, or equivalent combination of degree and experienceBA/BS degree in Engineering, Statistics, Computer Science, Operations Research, Business Analytics, Information Systems or related fieldAdvanced understanding and experience working with data warehousing, data quality, and data visualization.Advanced proficiency with Tableau, Snowflake, Data Bricks, Redshift and Google Sheets.Preferred experience with real estate industry tools such as SkySlope, PlanetRE, Profit Power as well as standard business tools such as NetSuite.Familiarity with SQL, relational databases. Python, and ETLMFamiliarity manipulating large sets of data, summarizing into metrics, and conducting appropriate statistical tests (e.g., regression, t-test, chi-square)Experience implementing basic software solutions to automate data source, visualization and/or data modeling applicationOutstanding communication skills - written and verbal - with the ability to tailor messaging strategy for different audiences.Outstanding organizational, project management, people and communication skills, including strong writing abilities and proven experience communicating key value messages to a variety of audiences both internal and external to Compass.Ability to prioritize, problem solve, multitask, and work independently in a dynamic, rapidly changing workplace with a bias towards action. Proficiency in sourcing and analyzing the data needed to make effective decisions as well as a high comfort level in operating with and making decisions with partial informationStrong soft skills and experience managing with empathy, including the ability to face challenges with a positive attitude.Do your best work, be your authentic self.At Compass, we believe that everyone deserves to find their place in the world — a place where they feel like they belong, where they can be their authentic selves, where they can thrive. Our collaborative, energetic culture is grounded in our Compass Entrepreneurship Principles and our commitment to diversity, equity, inclusion, growth and mobility. As an equal opportunity employer, we offer competitive compensation packages, robust benefits and professional growth opportunities aimed at helping to improve our employees' lives and careers.Notice for California Applicants",19
"Meta is looking for exceptionally talented and experienced engineers to join the GMS Technology team. Our team provides analytics and workflow tools for Global Marketing Solutions (GMS), partnering with sales, marketing, measurement, support and operations teams.In this role, you’ll work with some of the brightest minds in the industry, work with one of the richest data sets in the world, use cutting edge technology, and get an opportunity to solve some of the most challenging business and engineering problems, at a scale that few companies can match. You will do so by partnering with stakeholders/teams and building scalable, reliable solutions that provide business critical insights and metrics, while ensuring the best uptime and responsiveness.Manage data warehouse plans for a business vertical or a group of business verticalsBuild data expertise and own data quality for allocated areas of ownershipDesign, build, optimize, launch and support new and existing data models and analytical solutionsPartner with internal stakeholders to understand business requirements, work with cross-functional data and products teams and build efficient and scalable data solutionsConduct design and code reviewsWork with data infrastructure to triage infra issues and drive to resolutionManage the delivery of high impact dashboards, tools and data visualizations2+ years of experience in the data warehouse space, custom ETL design, implementation and maintenance2+ years of experience in SQL or similar languages, and development experience in at least one language (Python, PHP etc.)Experience with data architecture, data modeling, schema design and software developmentExperience in leading data driven projects from definition through interpretation and executionExperience with large data sets, Hadoop, and data visualization toolsExperience initiating and driving projects, and communicating data warehouse plans to internal clients/stakeholdersBachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experienceExperience working in support of diverse communitiesFacebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",20
"Our client a well established hedge fund with 100B AUM is looking for a Data Analytics Python developer with AWS exp. They will be utilizing Python (Pandas, Python, Numpy, Scipy) for the development of a Data Analytics platform.. The successful candidate will need to have very solid programming skills and some financial instrament knowledge. Responsibilities:Help lead the thought process behind library development by proposing and researching new technologiesCode in Python to develop a brand new leading-edge analytics libraryContribute to the design efforts of the libraryWork with research teams to implement new strategiesBuild new visualization and reporting tools to help portfolio managers and researchers with model performanceQualifications:Graduate degree in Computer Science or a quantitative disciple from a top university preferredMinimum of 3+ years of professional experience with Python (Pandas, Python, Numpy, Scipy) developmentFinancial experience highly preferredStrong analytical, development, and modeling skillsIf interested, please apply with a copy of your resume and we will be in touch soon!",21
